,gapfraction
28,0.4132471522841427
31,0.4631090450301289
39,0.5629761118230954
43,0.5371058769213625
47,0.5359675865856862
51,0.563756198906286
55,0.5411495936383103
56,0.36702301256895414
66,0.6984565419854012
76,0.7103966504015856
79,0.7090673183312505
82,0.7093857212223487
85,0.7139468426373311
88,0.7304321523239431
94,0.5943308365239957
105,0.5965596567616834
106,0.5795171420156495
112,0.619930428968295
115,0.6334864320568031
119,0.624220907925844
122,0.5703948991856846
125,0.595174604185406
128,0.5914652105041114
131,0.6487697708295191
134,0.608189322359047
140,0.4812739299672841
141,0.41811871651794597
148,0.5397008604838132
152,0.3191590979646095
156,0.37607361474842194
160,0.5045412212342888
169,0.7103807302570307
172,0.6640451495299577
175,0.642871357271924
179,0.6372993066777046
183,0.5582637490348412
186,0.10895746933382155
189,0.3624380109371393
195,0.3980274940896463
198,0.45856384375970133
200,0.4149108073901311
203,0.5146505130266583
209,0.5787529750770137
210,0.5582398688180089
213,0.33616181234925613
224,0.3438273619524465
227,0.4231176419081885
230,0.40924323592858225
241,0.41335063322374965
244,0.3367906580591752
247,0.3485158445238683
255,0.3049185286602402
258,0.4145685242822005
264,0.6021237472836254
267,0.6139683348324803
273,0.46114290717759715
279,0.37564377084543926
282,0.41503020847429295
286,0.4123874644781775
294,0.7721827314192012
297,0.7616515557961266
301,0.7867496636869463
308,0.7565173091771673
312,0.778598549674831
315,0.7972808393100209
319,0.8179611070868523
323,0.8070796882835696
327,0.8444761078430593
335,0.39413501874597023
358,0.3684080651452315
362,0.24037826263462472
369,0.49861892745986136
372,0.4922508696378963
375,0.47196064540266025
379,0.6063425855906772
385,0.3318554132471523
388,0.50979486893741
391,0.23977329714153806
394,0.45807031927849906
403,0.5834732979375453
406,0.5860125609940539
408,0.6822259546116679
430,0.7123309479650075
433,0.726993401100082
437,0.7423961409569599
443,0.5956124081606661
478,0.5596090012497313
485,0.654540823230675
490,0.692383006837702
510,0.8008787919794311
515,0.8368344384567011
518,0.8199272449393841
521,0.7781766658441258
524,0.8523326991809086
527,0.8281340794574414
533,0.6774101108838069
539,0.6188239789217286
543,0.6662978499844778
547,0.7498547286809364
553,0.6969998487586267
560,0.6610442022813567
563,0.7041081933023952
564,0.7173696737166374
569,0.747124423889769
572,0.804452864432009
588,0.7671678858844039
592,0.8005524290160555
597,0.6999769157903953
601,0.6574860499733337
604,0.6772190691491479
609,0.7666027207527044
617,0.8790626218886067
620,0.8728617255844683
621,0.869733417179428
626,0.8506929242917526
634,0.8947837646365829
637,0.8958981747554268
640,0.9239494694611827
646,0.8940912383484442
652,0.9147715061252756
656,0.8890923129582017
659,0.8750348253162139
662,0.9097805408073105
665,0.8904853256067565
671,0.8180327477373495
674,0.8446751096499956
681,0.9228987399205585
685,0.9355870951308238
688,0.7509134182938381
692,0.6631536214348827
697,0.9635826693306375
700,0.959666313770129
706,0.96266726101873
710,0.9743287669052035
711,0.8914405342800512
727,0.9484266917143608
738,0.9263693314335294
744,0.9388666449091357
749,0.9675547453970882
756,0.9557021977759558
759,0.9497878640738058
761,0.9461023506093436
768,0.9201206746957262
771,0.955216633367031
774,0.920622159249206
779,0.9923822108304743
783,0.9872718444283474
789,0.9941573069483471
793,0.9902329913155612
794,0.9994746352296879
804,0.9050044974408368
808,0.892937027868213
811,0.8821272497154274
816,0.9042562506467559
819,0.9136332157895993
827,0.9154560723411369
831,0.9356348555644886
834,0.9478058060767192
837,0.9449959005627772
840,0.9315672586307083
849,0.9793038120786137
852,0.9744004075557006
855,0.9755307378190994
858,0.9754431770240474
862,0.8823580918114736
867,0.9446854577439563
902,0.952128125323378
908,0.9581937003987996
913,0.9474635229687886
917,0.9535370581164877
920,0.9612901685147301
932,0.9766371878656658
936,0.9789376487538507
942,0.9925812126374107
945,0.9934011000819888
948,0.9866509587907059
951,0.9913872017957923
957,0.983880853638151
960,0.9841912964569718
966,0.9574613737492736
969,0.9734770391715156
972,0.9718531844269146
975,0.9822331186767176
1002,0.9800440988004171
1008,0.9895882254610872
1023,0.9919603269997691
1026,0.998622907496
1036,0.988346454185804
1039,0.9933214993592142
1042,0.9960120037889943
1050,0.9976517786781504
1054,0.9981691833761851
1057,0.9992756334227515
1060,0.9925652924928559
1061,0.9935682615998154
1095,0.19178998145303158
1099,0.5122226909820341
1127,0.6017894242479722
1132,0.6328496262746066
1139,0.7350808345339775
1142,0.7563660678038957
1150,0.4444983960454361
1160,0.11944088452323147
1167,0.29755546180359316
1168,0.09509102342649271
1176,0.7003271589706035
1181,0.34442436737325577
1185,0.6669187356221195
1186,0.5565125331338009
1190,0.34156670142564893
1204,0.6796468911937721
1207,0.13034618354334657
1212,0.7673987279804501
1215,0.6914198380921299
1218,0.8085363815103441
1219,0.7828094279096054
1223,0.04667786383500362
1268,0.8969648244406059
1269,0.8766268397717051
1283,0.9033488024071259
1292,0.8506690440749202
1306,0.8498650767748971
1329,0.8939320369028951
1332,0.8929529480127679
1335,0.9384447610784306
1357,0.9527490109610195
1360,0.9645776783653196
1363,0.9694014821654581
1366,0.9646333988712618
1372,0.9474476028242337
1375,0.9468346772588695
1378,0.9488087751836787
1381,0.9464287135727193
1405,0.6291481926655894
1413,0.9270061372157259
1416,0.9247852770503157
1419,0.9049408168626171
1422,0.9364069825754018
1428,0.8593694030741799
1431,0.8341837343883083
1433,0.8626728330693243
1437,0.8828356961481211
1440,0.9459988696697366
1443,0.9575170942552158
1450,0.9810948283410413
1454,0.9862370350322781
1457,0.9830848464104054
1461,0.9850032238292724
1464,0.9891424614135497
1465,0.9813973110875847
1479,0.9711049376328337
1482,0.9716223423308684
1485,0.9731745564249723
1486,0.9729039139675388
1510,0.9314717377633789
1513,0.8480501802956371
1517,0.9472247208004648
1521,0.926902656276119
1524,0.922628097463125
1528,0.9253982026156797
1537,0.8884236668868953
1540,0.8688896495180176
1543,0.8943300405167679
1550,0.9118421995271717
1553,0.9113805153350792
1556,0.9302458866326506
1559,0.8519983761452554
1560,0.9114999164192411
1586,0.30656626362167366
1589,0.8091174667865985
1593,0.901589626433808
1599,0.5106625168156527
1602,0.6050371337371744
1605,0.49225882971017376
1612,0.007617789169525659
1616,0.8074299314637777
1620,0.6772349892937027
1623,0.7843298017145995
1629,0.9304846888009743
1632,0.9498754248688578
1639,0.8469278101045158
1643,0.8838068249659707
1644,0.8780516927093698
1651,0.915424232052027
1655,0.859074880399914
1658,0.8817610863906644
1661,0.9201206746957262
1666,0.95040078963917
1669,0.8944653617454846
1671,0.8759741138449537
1678,0.960589682154314
1680,0.9790809300548449
1686,0.9878608897768791
1691,0.9592205497225915
1694,0.9836500115421049
1697,0.9774093148765791
1700,0.9709377761150071
1702,1.0
1709,0.44784958647424516
1721,0.580973835242424
1727,0.7892411663097901
1736,0.9249205982790324
1746,0.9808639862449952
1749,0.9879086502105439
1750,0.9786670062964171
1756,0.9673637036624293
1761,0.9507191925302682
1765,0.984716661227284
1768,0.9656124877613889
1771,0.9478058060767192
1773,0.9394795704744999
1782,0.9178759343134836
1788,0.9852818263589833
1791,0.9877414886927174
1794,0.9788819282479085
1797,0.9843664180470759
1820,0.7995972203427607
1824,0.7328440542240123
1828,0.7843775621482643
1832,0.8401378684518456
1852,0.9408805431953322
1857,0.8935499534335771
1861,0.9449401800568349
1864,0.9154799525579692
1887,0.8627285535752665
1891,0.9218798506690441
1906,0.9886648570769022
1909,0.9803306614024055
1915,0.9097725807350331
1922,0.9357701767932053
1958,0.9782451224657119
1961,0.9753396960844405
1964,0.9827346032301973
1967,0.9812221894974806
1971,0.9467311963192626
1975,0.998376145255399
1997,0.9882907336798619
2001,0.9942050673820119
2008,0.9998805989158381
2009,1.0
2016,1.0
2020,1.0
2027,1.0
2031,1.0
2035,1.0
2039,1.0
2042,1.0
2044,1.0
2070,0.511522204621618
2075,0.5261368973230277
2087,0.502869606056023
2104,0.5093331847453175
2109,0.5232871914476983
2118,0.5736505687471642
2125,0.5444450635611772
2129,0.6078788795402262
2133,0.6412156622382131
2137,0.7391961919014225
2141,0.7136762001798976
2142,0.5251100479992359
2148,0.5068735224115835
2151,0.49297523621514483
2156,0.751677585232474
2159,0.5853757552118574
2162,0.5823827680355338
2165,0.3578211690162147
2168,0.6149872240839946
2187,0.583608619166262
2191,0.633136188876595
2196,0.3720537782483065
2199,0.5835290184434875
2202,0.8126915392391763
2205,0.5322104324707269
2209,0.3735821121255781
2214,0.4622095568627763
2219,0.46937362191248694
2225,0.49187674624085587
2228,0.4665239160371576
2235,0.47633868515526123
2238,0.4847524815525325
2241,0.48308086637426667
2245,0.47047211188677596
2248,0.48079632563063673
2251,0.4912558606032143
2255,0.4924339513002778
2258,0.4965254284508903
2261,0.48539724740700646
2264,0.49552245934393085
2267,0.49260907289038186
2268,0.48419527649311056
2284,0.36659316866597147
2294,0.4455013651523956
2297,0.3164685935348293
2300,0.0
2308,0.529177644933016
2314,0.3025225469047259
2318,0.5045093809451789
2322,0.3492402111011168
2326,0.26893900196613785
2338,0.3703980832145956
2341,0.3332404658234297
2344,0.17871954277344837
2349,0.11078032588535904
2353,0.26575497305515533
2360,0.7791239144451432
2367,0.27619858788317797
2370,0.26611317630764086
2377,0.014463451328138059
